ord_id,cust_id,ord_date,ord_shipdate
CA-2013-152156,CG-12520,12/11/2013,9/11/2013
CA-2013-152156,CG-12520,12/11/2013,9/11/2013
CA-2013-138688,DV-13045,6/17/2013,6/13/2013
US-2012-108966,SO-20335,11/10/2012,10/18/2012
US-2012-108966,SO-20335,11/10/2012,10/18/2012
CA-2011-115812,BH-11710,9/6/2011,6/14/2011
CA-2011-115812,BH-11710,9/6/2011,6/14/2011
CA-2011-115812,BH-11710,9/6/2011,6/14/2011
CA-2011-115812,BH-11710,9/6/2011,6/14/2011
CA-2011-115812,BH-11710,6/14/2011,9/6/2011
CA-2011-115812,BH-11710,6/14/2011,9/6/2011
CA-2011-115812,BH-11710,6/14/2011,9/6/2011
CA-2014-114412,AA-10480,4/16/2014,4/21/2014
CA-2013-161389,IM-15070,6/12/2013,11/12/2013
US-2012-118983,HP-14815,11/22/2012,11/26/2012
US-2012-118983,HP-14815,11/22/2012,11/26/2012
CA-2011-105893,PK-19075,11/11/2011,11/18/2011
CA-2011-167164,AG-10270,5/13/2011,5/15/2011
CA-2011-143336,ZD-21925,1/9/2011,8/27/2011
CA-2011-143336,ZD-21925,1/9/2011,8/27/2011
CA-2011-143336,ZD-21925,1/9/2011,8/27/2011
CA-2013-137330,KB-16585,10/12/2013,12/14/2013
CA-2013-137330,KB-16585,10/12/2013,12/14/2013
US-2014-156909,SF-20065,7/17/2014,7/19/2014
CA-2012-106320,EB-13870,9/25/2012,9/30/2012
CA-2013-121755,EH-13945,1/16/2013,1/20/2013
CA-2013-121755,EH-13945,1/16/2013,1/20/2013
US-2012-150630,TB-21520,9/17/2012,9/21/2012
US-2012-150630,TB-21520,9/17/2012,9/21/2012
US-2012-150630,TB-21520,9/17/2012,9/21/2012
US-2012-150630,TB-21520,9/17/2012,9/21/2012
US-2012-150630,TB-21520,9/17/2012,9/21/2012
US-2012-150630,TB-21520,9/17/2012,9/21/2012
US-2012-150630,TB-21520,9/17/2012,9/21/2012
CA-2014-107727,MA-17560,10/20/2014,10/24/2014
CA-2013-117590,GH-14485,9/12/2013,11/12/2013
CA-2013-117590,GH-14485,9/12/2013,11/12/2013
CA-2012-117415,SN-20710,12/27/2012,12/31/2012
CA-2012-117415,SN-20710,12/27/2012,12/31/2012
CA-2012-117415,SN-20710,12/27/2012,12/31/2012
CA-2012-117415,SN-20710,12/27/2012,12/31/2012
CA-2014-120999,LC-16930,9/16/2014,11/9/2014
CA-2013-101343,RA-19885,7/18/2013,7/23/2013
CA-2014-139619,ES-14080,9/20/2014,9/24/2014
CA-2013-118255,ON-18715,3/14/2013,12/3/2013
CA-2013-118255,ON-18715,3/14/2013,12/3/2013
CA-2011-146703,PO-18865,10/20/2011,10/25/2011
CA-2013-169194,LH-16900,6/21/2013,6/26/2013
CA-2013-169194,LH-16900,6/21/2013,6/26/2013
CA-2012-115742,DP-13000,4/18/2012,4/22/2012
CA-2012-115742,DP-13000,4/18/2012,4/22/2012
CA-2012-115742,DP-13000,4/18/2012,4/22/2012
CA-2012-115742,DP-13000,4/18/2012,4/22/2012
CA-2013-105816,JM-15265,12/12/2013,12/18/2013
CA-2013-105816,JM-15265,12/12/2013,12/18/2013
CA-2013-111682,TB-21055,6/18/2013,6/19/2013
CA-2013-111682,TB-21055,6/18/2013,6/19/2013
CA-2013-111682,TB-21055,6/18/2013,6/19/2013
