prod_id,prod_name,prod_crt_date
FUR-BO-10001798,Bush Somerset Collection Bookcase,9/11/2013
FUR-CH-10000454,Hon Deluxe Fabric Upholstered Stacking Chairs Rounded Back,9/11/2013
OFF-LA-10000240,SelfAdhesive Address Labels for Typewriters by Universal,6/13/2013
FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,10/18/2012
OFF-ST-10000760,Eldon Fold N Roll Cart System,10/18/2012
FUR-FU-10001487,Eldon Expressions Wood and Plastic Desk Accessories Cherry Wood,6/14/2011
OFF-AR-10002833,Newell 322,6/14/2011
TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,6/14/2011
OFF-BI-10003910,DXL AngleView Binders with Locking Rings by Samsill,6/14/2011
OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,6/14/2011
FUR-TA-10001539,Chromcraft Rectangular Conference Tables,6/14/2011
TEC-PH-10002033,Konftel 250 Conferencephone Charcoal black,6/14/2011
OFF-PA-10002365,Xerox 1967,4/16/2014
OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,6/12/2013
OFF-AP-10002311,Holmes Replacement Filter for HEPA Air Cleaner Very Large Room HEPA Filter,11/22/2012
OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,11/22/2012
OFF-ST-10004186,SturDStor Shelving Vertical 5Shelf 72H x 36W x 18 12D,11/11/2011
OFF-ST-10000107,Fellowes Super StorDrawer,5/13/2011
OFF-AR-10003056,Newell 341,1/9/2011
TEC-PH-10001949,Cisco SPA 501G IP Phone,1/9/2011
OFF-BI-10002215,Wilson Jones Hanging View Binder White 1,1/9/2011
OFF-AR-10000246,Newell 318,10/12/2013
OFF-AP-10001492,Acco SixOutlet Power Strip 4 Cord Length,10/12/2013
FUR-CH-10002774,Global Deluxe Stacking Chair Gray,7/17/2014
FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,9/25/2012
OFF-BI-10001634,Wilson Jones Active Use Binders,1/16/2013
TEC-AC-10003027,Imation8GB Mini TravelDrive USB 20Flash Drive,1/16/2013
FUR-BO-10004834,Riverside Palais Royal Lawyers Bookcase Royale Cherry Finish,9/17/2012
OFF-BI-10000474,Avery Recycled FlexiView Covers for Binding Systems,9/17/2012
FUR-FU-10004848,Howard Miller 1334 Diameter Brushed Chrome Round Wall Clock,9/17/2012
OFF-EN-10001509,Poly String Tie Envelopes,9/17/2012
OFF-AR-10004042,BOSTON Model 1800 Electric Pencil Sharpeners PuttyWoodgrain,9/17/2012
OFF-BI-10001525,Acco Pressboard Covers with Storage Hooks 14 78 x 11 Executive Red,9/17/2012
OFF-AR-10001683,Lumber Crayons,9/17/2012
OFF-PA-10000249,Staples,10/20/2014
TEC-PH-10004977,GE 30524EE4,9/12/2013
FUR-FU-10003664,Electrix Architects ClampOn Swing Arm Lamp Black,9/12/2013
OFF-EN-10002986,104 18 x 9 12 Premium Diagonal Seam Envelopes,12/27/2012
FUR-BO-10002545,Atlantic Metals Mobile 3Shelf Bookcases Custom Colors,12/27/2012
FUR-CH-10004218,Global Fabric Managers Chair Dark Gray,12/27/2012
TEC-PH-10000486,Plantronics HL10 Handset Lifter,12/27/2012
TEC-PH-10004093,Panasonic KxTS550,9/16/2014
OFF-ST-10003479,Eldon Base for stackable storage shelf platinum,7/18/2013
