CID,segment,country,city,state,zipcode,region,date
CG12520,Cons,US,Henderson,Kentucky,42420,S,9/11/2013
CG12520,Cons,US,Henderson,Kentucky,42420,S,9/11/2013
DV13045,Corp,US,Los Angeles,California,90036,W,6/13/2013
SO20335,Cons,US,Fort Lauderdale,FL,33311,S,10/18/2012
SO20335,Cons,US,Fort Lauderdale,FL,33311,S,10/18/2012
BH11710,Cons,US,Los Angeles,California,90032,W,6/14/2011
BH11710,Cons,US,Los Angeles,California,90032,W,6/14/2011
BH11710,Cons,US,Los Angeles,California,90032,W,6/14/2011
BH11710,Cons,US,Los Angeles,California,90032,W,6/14/2011
BH11710,Cons,US,Los Angeles,California,90032,W,6/14/2011
BH11710,Cons,US,Los Angeles,California,90032,W,6/14/2011
BH11710,Cons,US,Los Angeles,California,90032,W,6/14/2011
AA10480,Cons,US,Concord,North Carolina,28027,S,4/16/2014
IM15070,Cons,US,Seattle,Washington,98103,W,6/12/2013
HP14815,Home,US,Fort Worth,Texas,76106,C,11/22/2012
HP14815,Home,US,Fort Worth,Texas,76106,C,11/22/2012
PK19075,Cons,US,Madison,Wisconsin,53711,C,11/11/2011
AG10270,Cons,US,West Jordan,Utah,84084,W,5/13/2011
ZD21925,Cons,US,San Francisco,California,94109,W,1/9/2011
ZD21925,Cons,US,San Francisco,California,94109,W,1/9/2011
ZD21925,Cons,US,San Francisco,California,94109,W,1/9/2011
KB16585,Corp,US,Fremont,Nebraska,68025,C,10/12/2013
KB16585,Corp,US,Fremont,Nebraska,68025,C,10/12/2013
SF20065,Cons,US,Philadelphia,Pennsylvania,19140,E,7/17/2014
EB13870,Cons,US,Orem,Utah,84057,W,9/25/2012
EH13945,Cons,US,Los Angeles,California,90049,W,1/16/2013
EH13945,Cons,US,Los Angeles,California,90049,W,1/16/2013
TB21520,Cons,US,Philadelphia,Pennsylvania,19140,E,9/17/2012
TB21520,Cons,US,Philadelphia,Pennsylvania,19140,E,9/17/2012
TB21520,Cons,US,Philadelphia,Pennsylvania,19140,E,9/17/2012
TB21520,Cons,US,Philadelphia,Pennsylvania,19140,E,9/17/2012
TB21520,Cons,US,Philadelphia,Pennsylvania,19140,E,9/17/2012
TB21520,Cons,US,Philadelphia,Pennsylvania,19140,E,9/17/2012
TB21520,Cons,US,Philadelphia,Pennsylvania,19140,E,9/17/2012
MA17560,Home,US,Houston,Texas,77095,C,10/20/2014
GH14485,Corp,US,Richardson,Texas,75080,C,9/12/2013
GH14485,Corp,US,Richardson,Texas,75080,C,9/12/2013
SN20710,Home,US,Houston,Texas,77041,C,12/27/2012
SN20710,Home,US,Houston,Texas,77041,C,12/27/2012
SN20710,Home,US,Houston,Texas,77041,C,12/27/2012
SN20710,Home,US,Houston,Texas,77041,C,12/27/2012
LC16930,Corp,US,Naperville,Illinois,60540,C,9/16/2014
RA19885,Corp,US,Los Angeles,California,90049,W,7/18/2013
ES14080,Corp,US,Melbourne,FL,32935,S,9/20/2014
ON18715,Corp,US,Eagan,Minnesota,55122,C,3/14/2013
ON18715,Corp,US,Eagan,Minnesota,55122,C,3/14/2013
PO18865,Cons,US,Westland,Michigan,48185,C,10/20/2011
LH16900,Cons,US,Dover,Delaware,19901,E,6/21/2013
