OID,shipmode,date
CA-2013-152156,SC,9/11/2013
CA-2013-152156,SC,9/11/2013
CA-2013-138688,SC,6/13/2013
US-2012-108966,Standard,10/18/2012
US-2012-108966,Standard,10/18/2012
CA-2011-115812,Standard,6/14/2011
CA-2011-115812,Standard,6/14/2011
CA-2011-115812,Standard,6/14/2011
CA-2011-115812,Standard,6/14/2011
CA-2011-115812,Standard,6/14/2011
CA-2011-115812,Standard,6/14/2011
CA-2011-115812,Standard,6/14/2011
CA-2014-114412,Standard,4/16/2014
CA-2013-161389,Standard,6/12/2013
US-2012-118983,Standard,11/22/2012
US-2012-118983,Standard,11/22/2012
CA-2011-105893,Standard,11/11/2011
CA-2011-167164,SC,5/13/2011
CA-2011-143336,SC,1/9/2011
CA-2011-143336,SC,1/9/2011
CA-2011-143336,SC,1/9/2011
CA-2013-137330,Standard,10/12/2013
CA-2013-137330,Standard,10/12/2013
US-2014-156909,SC,7/17/2014
CA-2012-106320,Standard,9/25/2012
CA-2013-121755,SC,1/16/2013
CA-2013-121755,SC,1/16/2013
US-2012-150630,Standard,9/17/2012
US-2012-150630,Standard,9/17/2012
US-2012-150630,Standard,9/17/2012
US-2012-150630,Standard,9/17/2012
US-2012-150630,Standard,9/17/2012
US-2012-150630,Standard,9/17/2012
US-2012-150630,Standard,9/17/2012
CA-2014-107727,SC,10/20/2014
CA-2013-117590,FC,9/12/2013
CA-2013-117590,FC,9/12/2013
CA-2012-117415,Standard,12/27/2012
CA-2012-117415,Standard,12/27/2012
CA-2012-117415,Standard,12/27/2012
CA-2012-117415,Standard,12/27/2012
CA-2014-120999,Standard,9/16/2014
CA-2013-101343,Standard,7/18/2013
CA-2014-139619,Standard,9/20/2014
CA-2013-118255,FC,3/14/2013
CA-2013-118255,FC,3/14/2013
CA-2011-146703,SC,10/20/2011
CA-2013-169194,Standard,6/21/2013
CA-2013-169194,Standard,6/21/2013
CA-2012-115742,Standard,4/18/2012
CA-2012-115742,Standard,4/18/2012
CA-2012-115742,Standard,4/18/2012
CA-2012-115742,Standard,4/18/2012
CA-2013-105816,Standard,12/12/2013
CA-2013-105816,Standard,12/12/2013
CA-2013-111682,FC,6/18/2013
CA-2013-111682,FC,6/18/2013
CA-2013-111682,FC,6/18/2013
CA-2013-111682,FC,6/18/2013
CA-2013-111682,FC,6/18/2013
CA-2013-111682,FC,6/18/2013
CA-2013-111682,FC,6/18/2013
CA-2012-135545,Standard,11/24/2012
CA-2012-135545,Standard,11/24/2012
CA-2012-135545,Standard,11/24/2012
CA-2012-135545,Standard,11/24/2012
US-2012-164175,Standard,4/30/2012
CA-2011-106376,Standard,5/12/2011
CA-2011-106376,Standard,5/12/2011
CA-2013-119823,FC,5/6/2013
CA-2013-106075,Standard,9/19/2013
CA-2014-114440,SC,9/15/2014
US-2012-134026,Standard,2/5/2012
US-2012-134026,Standard,2/5/2012
US-2012-134026,Standard,2/5/2012
US-2014-118038,FC,10/12/2014
US-2014-118038,FC,10/12/2014
US-2014-118038,FC,10/12/2014
US-2011-147606,SC,1/12/2011
CA-2013-127208,FC,6/13/2013
CA-2013-127208,FC,6/13/2013
CA-2011-139451,Standard,10/16/2011
CA-2011-139451,Standard,10/16/2011
CA-2012-149734,Standard,3/9/2012
US-2014-119662,FC,11/14/2014
CA-2014-140088,SC,5/29/2014
CA-2014-155558,Standard,3/11/2014
CA-2014-155558,Standard,3/11/2014
CA-2013-159695,SC,6/4/2013
CA-2013-109806,Standard,9/18/2013
CA-2013-109806,Standard,9/18/2013
CA-2013-109806,Standard,9/18/2013
CA-2012-149587,SC,1/31/2012
CA-2012-149587,SC,1/31/2012
CA-2012-149587,SC,1/31/2012
US-2014-109484,Standard,7/11/2014
CA-2014-161018,SC,10/11/2014
CA-2014-157833,FC,6/18/2014
CA-2013-149223,Standard,7/9/2013
CA-2013-158568,Standard,3/9/2013
CA-2013-158568,Standard,3/9/2013
CA-2013-158568,Standard,3/9/2013
CA-2013-129903,SC,2/12/2013
US-2012-156867,Standard,11/13/2012
US-2012-156867,Standard,11/13/2012
US-2012-156867,Standard,11/13/2012
CA-2014-119004,Standard,11/24/2014
CA-2014-119004,Standard,11/24/2014
CA-2014-119004,Standard,11/24/2014
CA-2012-129476,Standard,10/15/2012
CA-2014-146780,Standard,12/26/2014
CA-2013-128867,Standard,4/11/2013
CA-2013-128867,Standard,4/11/2013
CA-2011-115259,SC,8/25/2011
CA-2011-115259,SC,8/25/2011
CA-2011-115259,SC,8/25/2011
CA-2011-115259,SC,8/25/2011
CA-2012-110457,Standard,2/3/2012
US-2012-136476,Standard,5/4/2012
CA-2013-103730,FC,6/13/2013
CA-2013-103730,FC,6/13/2013
CA-2013-103730,FC,6/13/2013
CA-2013-103730,FC,6/13/2013
CA-2013-103730,FC,6/13/2013
US-2011-152030,SC,12/26/2011
US-2011-134614,Standard,9/20/2011
US-2014-107272,Standard,6/11/2014
US-2014-107272,Standard,6/11/2014
US-2013-125969,SC,7/11/2013
US-2013-125969,SC,7/11/2013
US-2014-164147,FC,3/2/2014
US-2014-164147,FC,3/2/2014
US-2014-164147,FC,3/2/2014
CA-2013-145583,Standard,10/14/2013
CA-2013-145583,Standard,10/14/2013
CA-2013-145583,Standard,10/14/2013
CA-2013-145583,Standard,10/14/2013
CA-2013-145583,Standard,10/14/2013
CA-2013-145583,Standard,10/14/2013
CA-2013-145583,Standard,10/14/2013
CA-2013-110366,SC,6/9/2013
CA-2014-106180,Standard,9/19/2014
CA-2014-106180,Standard,9/19/2014
CA-2014-106180,Standard,9/19/2014
CA-2014-155376,Standard,12/23/2014
CA-2012-110744,Standard,7/9/2012
CA-2011-110072,Standard,10/22/2011
CA-2013-114489,Standard,6/12/2013
CA-2013-114489,Standard,6/12/2013
CA-2013-114489,Standard,6/12/2013
CA-2013-114489,Standard,6/12/2013
CA-2013-158834,FC,3/14/2013
CA-2013-158834,FC,3/14/2013
CA-2012-124919,FC,2/6/2012
CA-2012-124919,FC,2/6/2012
CA-2012-124919,FC,2/6/2012
CA-2012-118948,Standard,3/6/2012
CA-2011-104269,SC,1/3/2011
CA-2013-114104,Standard,11/21/2013
CA-2013-114104,Standard,11/21/2013
CA-2013-162733,FC,5/13/2013
CA-2012-119697,SC,12/28/2012
CA-2013-154508,Standard,11/17/2013
CA-2013-113817,Standard,8/11/2013
CA-2011-139892,Standard,8/9/2011
CA-2011-139892,Standard,8/9/2011
CA-2011-139892,Standard,8/9/2011
CA-2011-139892,Standard,8/9/2011
CA-2011-139892,Standard,8/9/2011
CA-2011-139892,Standard,8/9/2011
CA-2011-139892,Standard,8/9/2011
CA-2011-118962,Standard,5/8/2011
CA-2011-118962,Standard,5/8/2011
CA-2011-118962,Standard,5/8/2011
US-2011-100853,Standard,9/14/2011
US-2011-100853,Standard,9/14/2011
US-2014-152366,SC,4/22/2014
US-2012-101511,SC,11/21/2012
US-2012-101511,SC,11/21/2012
CA-2012-137225,Standard,12/15/2012
CA-2011-166191,SC,5/12/2011
CA-2011-166191,SC,5/12/2011
CA-2011-158274,SC,11/19/2011
CA-2011-158274,SC,11/19/2011
CA-2011-158274,SC,11/19/2011
CA-2013-105018,Standard,3/12/2013
CA-2011-123260,Standard,8/26/2011
CA-2013-157000,Standard,7/17/2013
CA-2013-157000,Standard,7/17/2013
CA-2012-102281,FC,10/14/2012
CA-2012-102281,FC,10/14/2012
CA-2012-102281,FC,10/14/2012
CA-2012-102281,FC,10/14/2012
CA-2012-102281,FC,10/14/2012
CA-2012-131457,Standard,6/11/2012
CA-2011-140004,Standard,3/21/2011
CA-2011-140004,Standard,3/21/2011
CA-2014-107720,Standard,7/11/2014
US-2014-124303,Standard,7/7/2014
US-2014-124303,Standard,7/7/2014
CA-2014-105074,Standard,6/25/2014
CA-2011-133690,FC,3/8/2011
CA-2011-133690,FC,3/8/2011
US-2014-116701,SC,12/18/2014
CA-2014-126382,Standard,4/6/2014
CA-2014-108329,Standard,10/12/2014
CA-2014-135860,Standard,2/12/2014
CA-2014-135860,Standard,2/12/2014
CA-2014-135860,Standard,2/12/2014
CA-2014-135860,Standard,2/12/2014
CA-2014-135860,Standard,2/12/2014
CA-2012-101007,SC,2/13/2012
CA-2012-146262,Standard,2/1/2012
CA-2012-146262,Standard,2/1/2012
CA-2012-146262,Standard,2/1/2012
CA-2012-146262,Standard,2/1/2012
CA-2012-146262,Standard,2/1/2012
CA-2013-130162,Standard,2/11/2013
CA-2013-130162,Standard,2/11/2013
CA-2012-169397,FC,12/24/2012
CA-2012-169397,FC,12/24/2012
CA-2012-169397,FC,12/24/2012
CA-2012-169397,FC,12/24/2012
CA-2012-169397,FC,12/24/2012
CA-2012-169397,FC,12/24/2012
CA-2012-163055,Standard,8/16/2012
CA-2012-163055,Standard,8/16/2012
CA-2012-163055,Standard,8/16/2012
US-2012-145436,Standard,2/28/2012
US-2012-145436,Standard,2/28/2012
US-2011-156216,Standard,9/13/2011
US-2014-100930,Standard,4/13/2014
US-2014-100930,Standard,4/13/2014
US-2014-100930,Standard,4/13/2014
US-2014-100930,Standard,4/13/2014
US-2014-100930,Standard,4/13/2014
CA-2014-160514,Standard,11/13/2014
CA-2013-157749,SC,5/6/2013
