PID,category,subcategory,date
FUR_BO10001798,Furniture,Bookcases,9/11/2013
FUR_CH10000454,Furniture,Chairs,9/11/2013
OFF_LA10000240,Office Supplies,Labels,6/13/2013
FUR_TA10000577,Furniture,Tables,10/18/2012
OFF_ST10000760,Office Supplies,Storage,10/18/2012
FUR_FU10001487,Furniture,Furnishings,6/14/2011
OFF_AR10002833,Office Supplies,Art,6/14/2011
TEC_PH10002275,Technology,Phones,6/14/2011
OFF_BI10003910,Office Supplies,Binders,6/14/2011
OFF_AP10002892,Office Supplies,Appliances,6/14/2011
FUR_TA10001539,Furniture,Tables,6/14/2011
TEC_PH10002033,Technology,Phones,6/14/2011
OFF_PA10002365,Office Supplies,Paper,4/16/2014
OFF_BI10003656,Office Supplies,Binders,6/12/2013
OFF_AP10002311,Office Supplies,Appliances,11/22/2012
OFF_BI10000756,Office Supplies,Binders,11/22/2012
OFF_ST10004186,Office Supplies,Storage,11/11/2011
OFF_ST10000107,Office Supplies,Storage,5/13/2011
OFF_AR10003056,Office Supplies,Art,1/9/2011
TEC_PH10001949,Technology,Phones,1/9/2011
OFF_BI10002215,Office Supplies,Binders,1/9/2011
OFF_AR10000246,Office Supplies,Art,10/12/2013
OFF_AP10001492,Office Supplies,Appliances,10/12/2013
FUR_CH10002774,Furniture,Chairs,7/17/2014
FUR_TA10000577,Furniture,Tables,9/25/2012
OFF_BI10001634,Office Supplies,Binders,1/16/2013
TEC_AC10003027,Technology,Accessories,1/16/2013
FUR_BO10004834,Furniture,Bookcases,9/17/2012
OFF_BI10000474,Office Supplies,Binders,9/17/2012
FUR_FU10004848,Furniture,Furnishings,9/17/2012
OFF_EN10001509,Office Supplies,Envelopes,9/17/2012
OFF_AR10004042,Office Supplies,Art,9/17/2012
OFF_BI10001525,Office Supplies,Binders,9/17/2012
OFF_AR10001683,Office Supplies,Art,9/17/2012
OFF_PA10000249,Office Supplies,Paper,10/20/2014
TEC_PH10004977,Technology,Phones,9/12/2013
